formation_start,formation_end,holding_start,holding_end,L_days,VaR_GMV,VaR_MV,VaR_EW,VaR_Active,Real_GMV,Real_MV,Real_EW,Real_Active
2011-10-03,2012-03-30,2012-03-31,2012-05-31,41,0.0,0.0,0.11547146117597856,0.13211898922439963,0.07532466817968131,0.07801339578285593,-0.03999072091995215,-0.07011547431333831
2012-01-02,2012-06-29,2012-06-30,2012-08-31,43,0.0,0.0,0.06328759356571513,0.10586707930028358,0.02618511445524252,0.02454403576525377,0.0009645556329995753,-0.00386444145560616
2012-04-02,2012-09-28,2012-09-29,2012-11-30,41,0.0042862198786879175,0.009760924091912603,0.07042609387248523,0.09053031181466586,0.07672924185935037,0.07764234987982177,0.05282921618513248,0.030955762453316993
2012-07-02,2012-12-31,2013-01-01,2013-03-28,62,0.0,0.0,0.0,0.0,-0.013779303221407413,-0.009628954795844358,-0.04943013805016738,-0.03768776142656294
2012-10-01,2013-03-28,2013-03-29,2013-05-31,42,0.022659943290334415,0.031081547701375514,0.06790632974734566,0.06745509220301545,0.15681900941561033,0.1594953866982618,0.08902734561979186,0.05339152317181539
2013-01-01,2013-06-28,2013-06-29,2013-08-30,43,0.0,0.015465886608907178,0.07259207928393979,0.07647188193428499,0.07029705203673076,0.07424591092643373,-0.054041924819220655,-0.06340077368114738
2013-04-01,2013-09-30,2013-10-01,2013-12-31,61,0.0,0.0032249069671717702,0.10623958318260787,0.12412271231275501,0.03937165016351396,0.04238151547219049,0.14816511099454321,0.09915784701759267
2013-07-01,2013-12-31,2014-01-01,2014-03-31,62,0.0,0.0,0.0,0.018738870720173585,0.0021778137283785526,0.0017623590699746838,0.07697140893006149,0.06348350253807133
2013-10-01,2014-03-31,2014-04-01,2014-06-30,60,0.0,0.0,0.010785499868389916,0.02976364210947232,0.13550769802337848,0.12933353512348345,0.19383759712099247,0.1353107007547505
2014-01-01,2014-06-30,2014-07-01,2014-09-30,63,0.0,0.0,0.0,0.0,0.2193020864152555,0.2143592448339411,0.10265900096090763,0.046437228612532744
2014-04-01,2014-09-30,2014-10-01,2014-12-31,58,0.0,0.0,0.0,0.0,0.07020159865962472,0.06444397802928248,0.04810738171769158,0.0399131177179588
2014-07-01,2014-12-31,2015-01-01,2015-03-31,61,0.0,0.0,0.0033105341491761033,0.005078846908382206,0.09581071481950554,0.09029800701029012,0.05159353394284172,0.025148804133916514
2014-10-01,2015-03-31,2015-04-01,2015-06-30,61,3.431747923781335e-05,0.019890806016030778,0.0,0.0,0.047840807747543845,0.041369402683863576,0.0041555230020222655,-0.014427040395712298
2015-01-01,2015-06-30,2015-07-01,2015-09-30,64,0.047603262492315584,0.06492767578620244,0.07266648366682593,0.10296890393972682,0.06936967512239933,0.06779341248099358,-0.03676163009456335,-0.050140407480433025
2015-04-01,2015-09-30,2015-10-01,2015-12-31,61,0.0,0.018673143166894016,0.06629253508149546,0.07539782779984568,0.027887669033843654,0.038608564694058156,0.03279350256626046,-0.0003207991042776248
