Portfolio,Mean_Annual,Std_Annual,Sharpe,Info_vs_NIFTY
GMV,0.22838529722302292,0.14296503986410009,-41.63206603789825,0.5569257714266164
MV_Tangency,0.23992381660338222,0.16525274021333844,-35.94730988232732,0.6353105655758388
EW,0.22415305011844364,0.2087488144951504,-28.53267570521183,1.9119465661120059
Active,0.11257277949050465,0.18238802411029903,-33.26831642628041,
NIFTY50,0.11257277949050465,0.18238802411029903,-33.26831642628041,
