Portfolio,Mean Return (Ann.),Std Dev (Ann.),Sharpe Ratio,Information Ratio
GMV,0.22841915632230592,0.13488540611448147,1.3227461847938984,0.5987109596198866
MV,0.2380931270559572,0.15116643602496854,1.2442783729113611,0.6692193559871193
EW,0.21711007237862257,0.19261897476836823,0.8675680710043178,1.8987211888334046
Active,-0.18992386591805943,0.1763859039614356,-1.3602213132094474,-0.9178200785060626
NIFTY 50,0.11253545053992853,0.17161503188692062,0.36439378213170714,
