Stock,GMV,MV,EW,Active
EIM IS Equity,0.036962966126514625,0.03386234428929005,0.021739130434782608,0.0014730831913913026
AXSB IS Equity,-0.026815074294575244,-0.02835819795062774,0.021739130434782608,0.01321551411046561
BJFIN IS Equity,0.024061650621321144,0.02307940794974283,0.021739130434782608,0.0022718098722931492
RELIANCE IS Equity,0.02712020083201467,0.014081265159012956,0.021739130434782608,0.0025744970659851143
ITC IS Equity,0.0935257995688199,0.08691087791501897,0.021739130434782608,0.055490179575262685
MM IS Equity,-0.014316704349885896,-0.016637692372870792,0.021739130434782608,0.012661253377087312
SBIN IS Equity,0.032541619464660505,0.030285348273589936,0.021739130434782608,0.03554726890278263
HNDL IS Equity,-0.04286230496084887,-0.044845536830038946,0.021739130434782608,0.020560398567055313
TATA IS Equity,-0.003442154597112836,-0.003637335812283277,0.021739130434782608,0.08857761317107127
SUNP IS Equity,0.028213262854564013,0.02569174927523426,0.021739130434782608,0.010500841838141576
TTAN IS Equity,0.027675332712376266,0.02530246151598951,0.021739130434782608,0.0018368583099411886
HDFCB IS Equity,0.1495761281591104,0.13679879439173362,0.021739130434782608,0.004058279230592051
BPCL IS Equity,0.013596220853434727,0.012645512752444021,0.021739130434782608,0.016153507234507973
CIPLA IS Equity,0.0814338417801846,0.08098024868872471,0.021739130434782608,0.014233619307264923
APNT IS Equity,0.08185960081386777,0.07881758090853234,0.021739130434782608,0.001624063957335595
ONGC IS Equity,0.034467647366269824,0.03371961084683269,0.021739130434782608,0.11839487277694322
JSTL IS Equity,-0.015210539487923709,-0.01787434669064314,0.021739130434782608,0.007415630209364037
WPRO IS Equity,0.05040928385438095,0.05007970292017975,0.021739130434782608,0.016655691499367364
DRRD IS Equity,0.07671300858527762,0.07626527579894948,0.021739130434782608,0.0024051448360850043
HMCL IS Equity,0.015586412166028688,0.01648277566173672,0.021739130434782608,0.006911311138197122
HUVR IS Equity,0.08879279589358754,0.08618157609437115,0.021739130434782608,0.002333821825209065
INFO IS Equity,0.07369100402851292,0.06577869162654262,0.021739130434782608,0.004560821513776891
KMB IS Equity,-0.006606595854984849,-0.01158333716060732,0.021739130434782608,0.002958895860178578
LT IS Equity,0.00680140656921735,0.001607752972916161,0.021739130434782608,0.00856683686121139
MSIL IS Equity,0.028806672628930493,0.027018627949394265,0.021739130434782608,0.0006781329142050759
ADE IS Equity,-0.017807424511629567,-0.020121074841190068,0.021739130434782608,0.0007868360608280741
NTPC IS Equity,0.07341375653873937,0.07459717854333248,0.021739130434782608,0.3287562906224806
IIB IS Equity,-0.02473235968730096,-0.02727167561796753,0.021739130434782608,0.003681769039836054
APHS IS Equity,0.04489302345565463,0.044070363084828444,0.021739130434782608,0.0012474113147618216
HCLT IS Equity,0.010349713744780779,0.006140060222858934,0.021739130434782608,0.005472474879540145
PWGR IS Equity,0.1215814630576728,0.11995530305671152,0.021739130434782608,0.10894322919144615
BAF IS Equity,-0.0005659792840183973,-0.005407191341256214,0.021739130434782608,0.0004401665108985848
ICICIBC IS Equity,-0.029184576920389227,-0.038077020467527645,0.021739130434782608,0.010493017059359943
BHARTI IS Equity,0.03877826032984932,0.036285291514685764,0.021739130434782608,0.025243242181888854
ADSEZ IS Equity,3.489367486403113e-05,-3.246406271408578e-05,0.021739130434782608,0.009334967202756232
TCS IS Equity,0.05840989820390308,0.05156200231174152,0.021739130434782608,0.0019040376975828594
TTMT IS Equity,-0.03247347505998642,-0.034697471096100586,0.021739130434782608,0.01968898949877286
DIVI IS Equity,0.02139618137757179,0.02115738311296437,0.021739130434782608,0.001029020172854876
UTCEM IS Equity,0.020038610108254203,0.017809101849649105,0.021739130434782608,0.001103596971244218
UPLL IS Equity,-0.004256122425768878,-0.003993639251419298,0.021739130434782608,0.007947798828550965
TECHM IS Equity,0.006393427782877378,0.005703617954044824,0.021739130434782608,0.005493112757337808
BJAUT IS Equity,0.05131327083249911,0.049355757533143016,0.021739130434782608,0.0035265756201023034
BRIT IS Equity,0.1065313455925861,0.10513392470231434,0.021739130434782608,0.0011038877484170016
GRASIM IS Equity,-0.002020905741549461,-0.0035799257005168,0.021739130434782608,0.005572483170978835
TATACONS IS Equity,-0.002470916995099335,-0.00242735964495382,0.021739130434782608,0.006571146324646472
NIFTY 50,-0.30220356540725163,-0.17881532003579512,0.021739130434782608,0.0
